event_id,event_name,date,characters,character_description
1,"Салон Анны Павловны","01-07-1805","Андрей Болконский; Пьер Безухов; Элен Курагина; Василий Курагин; Анна Павловна Шерер","Андрей: презрение к свету; Пьер: нарушает этикет; Элен: флирт; Василий: интриги; Анна: хозяйка салона"
2,"Отъезд Андрея на войну","01-08-1805","Андрей Болконский; Лиза Болконская","Андрей: бросает беременную жену; Лиза: остаётся в Лысых Горах"
3,"Шенграбенское сражение","04-11-1805","Андрей Болконский; Николай Ростов; Долохов; Капитан Тушин","Андрей: наблюдает героизм Тушина; Николай: первое ранение; Долохов: геройство; Тушин: скромный герой артиллерии"
4,"Аустерлицкое сражение","02-12-1805","Андрей Болконский; Николай Ростов; Кутузов; Наполеон","Андрей: ранение и кризис; Николай: бегство; Кутузов: поражение; Наполеон: триумф"
5,"Первый бал Наташи","31-12-1805","Наташа Ростова; Андрей Болконский; Пьер Безухов","Наташа: дебют в свете; Андрей: влюбляется; Пьер: восхищается"
6,"Рождение Николеньки","01-03-1806","Андрей Болконский; Лиза Болконская; Марья Болконская","Лиза: смерть при родах; Андрей: вина; Марья: опекун племянника"
7,"Дуэль Пьера и Долохова","01-01-1806","Пьер Безухов; Долохов; Элен Курагина","Пьер: вызов на дуэль; Долохов: ранение; Элен: причина конфликта"
8,"Смоленское сражение","17-08-1812","Андрей Болконский; Багратион; Наполеон","Андрей: участие в обороне; Багратион: командование; Наполеон: взятие города"
9,"Совет в Филях","13-09-1812","Кутузов; Барклай-де-Толли; Бенигсен; Пьер Безухов","Кутузов: решение оставить Москву; Барклай: поддержка; Бенигсен: возражения; Пьер: наблюдатель"
10,"Пожар Москвы","14-09-1812","Пьер Безухов; Ростовы; Французские солдаты","Пьер: попытка спасти ребёнка; Ростовы: эвакуация; Французы: мародёрство"
11,"Тарутинский манёвр","01-10-1812","Кутузов","Кутузов: стратегическое отступление для перегруппировки"
12,"Смерть Пети Ростова","01-10-1812","Петя Ростов; Василий Денисов","Петя: гибель в партизанской атаке; Денисов: месть за смерть"
13,"Переправа через Березину","01-11-1812","Наполеон; Французская армия","Наполеон: бегство; Армия: массовая гибель"
14,"Смерть Элен Курагиной","01-12-1812","Элен Курагина; Пьер Безухов; Василий Курагин","Элен: болезнь (аборт); Пьер: освобождение от брака; Василий: крах амбиций"
15,"Возвращение Ростовых в Москву","01-01-1813","Наташа Ростова; Марья Болконская; Николай Ростов","Наташа: горе после смерти Андрея; Марья: воссоединение с Николем; Николай: восстановление имения"
16,"Смерть Кутузова","01-04-1813","Кутузов","Кутузов: кончина в Польше; народная память"
17,"Эпилог: Семья Безуховых","01-01-1820","Пьер Безухов; Наташа Ростова; Николенька Болконский","Пьер: участие в тайном обществе; Наташа: мать четверых детей; Николенька: мечты о подвиге"
18,"Карьера Бориса Друбецкого","01-01-1805","Борис Друбецкой; Анна Михайловна","Борис: продвижение через связи; Анна: интриги ради сына"
19,"Смерть Платона Каратаева","01-10-1812","Платон Каратаев; Пьер Безухов","Каратаев: расстрел французами; Пьер: духовное прозрение"
20,"Партизанский отряд Денисова","01-09-1812","Василий Денисов; Долохов; Тихон Щербатый","Денисов: командование; Долохов: жестокость; Тихон: народный мститель"
21,"Вступление Пьера в масонство","01-01-1807","Пьер Безухов; Граф Вилларский","Пьер: духовные поиски; Вилларский: посвящение в масоны"
22,"Попытка реформ Пьера в имениях","01-01-1808","Пьер Безухов; Управляющие","Пьер: освобождение крестьян; Управляющие: саботаж реформ"
23,"Встреча Наташи и Андрея в Отрадном","01-05-1809","Наташа Ростова; Андрей Болконский","Наташа: восхищение природой; Андрей: переосмысление жизни"
24,"Разрыв Наташи с Андреем","01-06-1811","Наташа Ростова; Андрей Болконский; Анатоль Курагин","Наташа: увлечение Анатолем; Андрей: отказ простить; Анатоль: интриги"
25,"Ранение Андрея при Бородино","07-09-1812","Андрей Болконский; Наташа Ростова","Андрей: смертельное ранение; Наташа: узнаёт о ранении позже"
26,"Пленение Пьера французами","01-09-1812","Пьер Безухов; Французские солдаты","Пьер: арест за поджог; Солдаты: обыск и допрос"
27,"Пьер в плену","01-09-1812","Пьер Безухов; Платон Каратаев; Французские офицеры","Пьер: духовное прозрение; Каратаев: мудрость простолюдина"
28,"Последние дни Андрея","01-09-1812","Андрей Болконский; Наташа Ростова; Марья Болконская","Андрей: примирение перед смертью; Наташа: уход за ним; Марья: поддержка"
29,"Смерть Андрея Болконского","01-09-1812","Андрей Болконский","Андрей: умирает в Ярославле, обретя покой"
30,"Восстановление Москвы","01-01-1814","Пьер Безухов; Наташа Ростова; Николай Ростов","Пьер: возвращение из плена; Наташа: переживание потерь; Николай: восстановление хозяйства"
31,"Разговор Пьера и Наташи о будущем","01-01-1815","Пьер Безухов; Наташа Ростова","Пьер: планы реформ; Наташа: семейные ценности"
32,"Смерть старого графа Ростова","01-01-1812","Граф Ростов; Наташа Ростова; Николай Ростов","Граф: разорение и смерть; Наташа: горе; Николай: долги семьи"
33,"Брак Сони","01-01-1820","Соня; Николай Ростов","Соня: отказ от личного счастья; Николай: чувство долга"
34,"Разговоры о декабристах","01-01-1820","Пьер Безухов; Николенька Болконский","Пьер: политические взгляды; Николенька: восхищение"
35,"Смерть графа Безухова","01-08-1805","Пьер Безухов; Граф Безухов; Василий Курагин; Анна Михайловна","Пьер: становится наследником; Василий: интриги; Анна: заботится о сыне"
36,"Свадьба Пьера и Элен Курагиной","15-06-1806","Пьер Безухов; Элен Курагина; Василий Курагин; светское общество","Пьер: сомнения; Элен: расчётливость; Василий: доволен удачным браком"
37,"Попытка сватовства Анатоля к Марье Болконской","01-05-1809","Анатоль Курагин; Марья Болконская; князь Николай Болконский; Мадемуазель Бурьен","Анатоль: попытка жениться; Марья: внутренний конфликт; князь: гнев"
