word,count
и,23396
в,15764
не,9252
на,7176
что,6662
с,6635
он,6491
его,4228
как,4099
к,3858
то,3794
Стр,3513
строка,3438
г,3104
Вместо,2874
изд,2763
было,2638
В,2373
это,2314
я,2293
по,2272
она,2237
сказал,2220
о,2150
но,2128
за,2044
из,2014
же,1945
так,1926
от,1917
ее,1834
был,1798
ему,1780
всё,1707
Он,1622
бы,1608
только,1593
i,1587
Пьер,1569
а,1439
чтò,1421
для,1361
у,1345
И,1211
Р,1181
еще,1159
ii,1102
князь,1094
Я,1063
того,1009
него,999
была,973
были,965
Андрей,962
ни,945
все,927
когда,921
вы,901
Наташа,893
себя,892
теперь,875
их,864
Но,858
этого,850
быть,849
время,843
во,841
или,838
том,819
чтобы,817
они,817
уже,781
сказала,781
мне,755
которые,740
до,739
себе,730
говорил,727
который,698
ты,695
de,682
Она,674
чем,666
А,666
меня,662
ей,657
Да,648
этот,642
всех,639
тем,636
под,628
нет,626
опять,614
Ростов,602
Пьера,601
потому,590
князя,585
ничего,572
ли,572
при,571
мы,553
после,549
очень,546
будто,545
Ну,544
ним,538
Марья,537
будет,528
человек,520
Князь,497
людей,492
раз,481
вдруг,480
Это,479
лицо,474
Николай,474
есть,471
мог,470
Как,469
своего,463
более,463
может,462
им,459
После,455
эти,452
один,451
своей,449
ней,449
где,448
без,448
свою,446
слов,444
надо,444
глаза,432
всегда,430
дело,429
жизни,425
перед,420
вас,419
vous,412
со,410
нее,406
сам,405
человека,400
которое,399
сноске,395
княжна,394
день,390
этом,386
другой,384
между,383
которого,374
руку,371
чтоб,370
кто,368
да,366
вот,366
На,366
слова,365
Глава,363
iii,363
нибудь,360
которой,358
граф,358
несколько,355
гл,354
le,354
больше,352
Кутузов,351
Андрея,351
Наполеон,350
la,347
Чтò,344
про,340
этих,338
думал,335
армии,335
Не,335
Денисов,332
вам,331
об,329
тому,328
свои,328
Нет,327
Ч,326
ежели,323
нему,321
Вот,321
est,321
знал,320
l,320
них,319
et,318
мой,316
казалось,315
этой,314
никогда,314
стал,312
люди,311
которая,311
своим,310
свое,309
спросил,308
голову,308
над,306
Вы,305
Когда,303
прежде,302
французов,301
своих,300
Соня,300
à,295
говорить,294
Наполеона,291
хорошо,289
друг,289
тех,288
солдат,287
que,287
тот,286
отвечал,286
эту,285
сказать,285
го,282
всем,282
войска,282
которых,280
котором,280
говорила,280
офицер,279
даже,279
нужно,278
видел,278
je,278
минуту,277
тогда,276
всего,275
через,274
iv,274
два,271
назад,270
там,269
Анна,269
хотел,267
вместе,266
Пьеру,264
говорили,263
лица,262
чего,258
сражения,258
руки,256
глядя,256
генерал,256
вперед,255
улыбкой,252
которую,251
видимо,248
Долохов,243
чтó,242
глазами,242
тебе,241
времени,240
Москве,240
m,239
знаю,238
нем,237
голос,237
тоже,236
потом,235
les,235
одно,234
одного,233
Борис,233
Так,232
С,232
Москвы,232
те,230
эта,228
Ростова,227
Ты,226
il,225
жизнь,222
вышел,221
ж,220
графа,220
Наташи,220
графиня,219
Все,219
тут,218
против,218
нельзя,218
Ах,217
улыбаясь,214
можно,214
подошел,213
государя,213
этим,212
совершенно,212
несмотря,211
т,209
Они,209
должен,208
Элен,207
очевидно,206
дома,206
чувство,205
хотя,205
могла,205
Всё,205
сделать,204
нас,203
смотрел,202
много,202
Петя,201
Княжна,201
собой,199
Кутузова,197
разговор,195
говорит,195
чувствовал,193
ваше,193
mon,193
a,193
тебя,192
совсем,191
своем,191
своею,190
первый,190
нам,190
лице,189
других,189
свой,188
князю,188
видеть,187
отца,186
государь,186
Москву,185
Ежели,184
Василий,184
почти,183
могу,183
двери,183
ту,182
тотчас,182
стоял,182
такое,181
русских,181
делать,181
письмо,180
особенно,179
обратился,178
друга,178
всю,178
продолжал,177
которым,177
голосом,176
быстро,176
той,175
княжны,175
куда,173
кроме,172
другие,172
одна,171
лошадь,171
своему,170
проговорил,170
un,170
здесь,169
Ростовых,169
Анатоль,169
долго,168
головой,168
войск,167
pas,167
давно,165
пошел,164
Марьи,164
своими,163
комнаты,163
Николая,162
три,161
выражение,160
Денисова,160
сделал,159
ехать,159
дела,159
точно,158
стороны,158
Слов,158
одной,157
подумал,156
кого,156
должно,156
лицом,155
вопрос,155
О,155
ne,155
ce,155
таким,154
остановился,154
никто,154
d,154
войны,153
мысли,152
У,152
сидел,151
двух,151
Его,151
силы,150
любви,150
лучше,150
приехал,148
дня,148
комнату,147
уж,146
такой,146
руками,146
лошади,146
Только,146
весь,145
комнате,144
c,144
вошел,143
взял,143
сейчас,142
прямо,142
пор,142
сторон,140
солдаты,140
весело,140
французы,139
самое,139
подле,139
место,139
доме,139
этому,138
стояли,138
поехал,138
могли,138
Граф,138
стали,137
положение,137
движения,137
Павловна,137
если,136
вокруг,136
та,135
думала,134
глаз,134
Наташе,134
старый,133
слово,132
какой,132
е,132
По,132
Бог,132
ними,131
знать,131
дверь,131
en,131
сына,130
начал,130
крикнул,129
знает,129
адъютант,129
une,129
смерти,128
слишком,128
невольно,128
года,128
вся,128
увидал,127
сражение,127
рукой,127
понять,127
мимо,127
матери,127
душе,127
дороге,127
дальше,127
молча,126
закричал,126
голоса,126
впереди,126
qui,126
ma,126
часто,125
собою,125
императора,125
России,125
Наташу,125
Михайловна,125
Ему,125
qu,125
n,125
bourienne,125
имел,124
могло,123
истории,123
говорят,123
видно,123
ясно,122
французский,122
таки,122
нынче,122
знаете,122
Андрею,122
des,122
понял,121
lle,121
люблю,120
лошадей,120
кажется,120
знала,120
nous,120
прибавил,119
ну,119
кончая,119
Что,119
лет,118
особенности,117
оно,117
ноги,117
каждый,116
поспешно,115
всей,115
pour,115
тяжело,114
обращаясь,114
ко,114
За,114
скоро,113
сколько,113
княжне,113
должны,113
гг,113
стало,112
отец,112
Мне,112
русские,111
иногда,111
взгляд,111
Графиня,111
тысяч,110
около,110
Долохова,110
дать,109
Жюли,109
посмотрел,108
выражением,108
Петербурге,108
du,108
такие,107
сын,107
старого,107
самого,107
другое,107
движение,107
две,107
Алпатыч,107
улыбнулся,106
моя,106
какое,106
дом,106
Болконский,106
Александра,106
me,106
месте,105
всеми,105
видела,105
бывает,105
Багратион,105
стала,104
сама,104
радостно,104
мысль,104
молодой,104
милый,104
мать,104
которому,104
итти,104
Мы,104
нею,103
минуты,103
княгиня,103
говорю,103
видом,103
армию,103
Теперь,103
ночь,102
любил,102
именно,102
думать,102
дорогу,102
Марье,102
Для,102
сел,101
полка,101
лиц,101
графини,101
власть,101
цель,100
французски,100
завтра,100
v,100
почему,99
одну,99
кричал,99
другого,99
гостиной,99
будут,99
пока,98
каким,98
указывая,97
офицера,97
народа,97
любовь,97
делал,97
Из,97
Бориса,97
узнал,96
сторону,96
слышал,96
середине,96
положении,96
полк,96
повторил,96
смотрели,95
сиятельство,95
свете,95
буду,95
Ростову,95
хотелось,94
думаю,94
То,94
Еще,94
mais,94
тихо,93
звуки,93
встал,93
Петербург,93
Берг,93
слезы,92
сердито,92
оглянулся,92
людьми,92
заметил,92
вышла,92
вечер,92
Наташей,92
Александр,92
туда,91
должна,91
главнокомандующего,91
власти,91
ведь,91
Ведь,91
tout,91
ожидая,90
князем,90
зная,90
государю,90
сидела,89
платье,89
наконец,89
вид,89
взглядом,89
Кто,89
скорее,88
самый,88
просто,88
понимал,88
офицеров,88
желая,88
глазах,88
брат,88
Растопчин,88
Богу,88
шел,87
сюда,87
русской,87
места,87
менее,87
зачем,87
взглянул,87
dans,87
русского,86
образом,86
неприятеля,86
историки,86
вами,86
Дмитриевна,86
on,86
чувствовала,85
цели,85
стараясь,85
смотрела,85
почувствовал,85
последнее,85
понимаю,85
поле,85
наши,85
находился,85
мало,85
женщины,85
Потом,85
Один,85
Москва,85
Болконского,85
чуть,84
спросила,84
письма,84
народ,84
дочери,84
вследствие,84
воли,84
Разговор,84
Анатоля,84
plus,84
хочет,83
правда,83
необходимости,83
какая,83
деле,83
говоря,83
верно,83
Кутузову,83
Во,83
x,83
самом,82
причины,82
никого,82
император,82
знаешь,82
Чтó,82
bien,82
хочу,81
сами,81
раненых,81
наш,81
какие,81
другим,81
главное,81
генерала,81
видал,81
большой,81
Слова,81
Лицо,81
Бонапарте,81
солдата,80
послышался,80
пленных,80
жены,80
ехал,80
Несвицкий,80
xii,80
толпы,79
столько,79
скажу,79
самых,79
самой,79
приказания,79
отвечала,79
обеда,79
велел,79
Государь,79
xvi,79
j,79
хотела,78
слушал,78
оглядываясь,78
иметь,78
значение,78
году,78
армия,78
ix,78
comme,78
шопотом,77
французского,77
такого,77
сражении,77
события,77
начала,77
напротив,77
командир,77
брата,77
ближе,77
Через,77
чувства,76
французами,76
утра,76
спрашивал,76
мире,76
м,76
имеет,76
беспрестанно,76
Несмотря,76
chère,76
свободы,75
дочь,75
дороги,75
весьма,75
Бога,75
xix,75
случае,74
прошел,74
право,74
ночи,74
мной,74
легко,74
испытывал,74
домой,74
действительно,74
близко,74
Отчего,74
Если,74
Анны,74
xiv,74
xi,74
vii,74
ai,74
шли,73
ти,73
сзади,73
иначе,73
желал,73
другом,73
далеко,73
гостиную,73
войне,73
вечера,73
vi,73
часть,72
часов,72
хоть,72
увидав,72
руках,72
разных,72
рад,72
равно,72
ногами,72
никакого,72
неожиданно,72
мужа,72
идет,72
гостей,72
Андреич,72
xv,72
xiii,72
успел,71
странно,71
спокойно,71
одном,71
молодого,71
конце,71
дурно,71
делали,71
внимание,71
К,71
xviii,71
votre,71
французской,70
столь,70
сила,70
отвечая,70
горе,70
вполне,70
Очень,70
Несколько,70
viii,70
штаб,69
состоянии,69
самые,69
невозможно,69
княжну,69
кампании,69
жить,69
другими,69
Пьером,69
si,69
страх,68
старик,68
словами,68
разговора,68
одному,68
история,68
деньги,68
cher,68
отчего,67
одним,67
новое,67
могут,67
мира,67
минут,67
всякий,67
вспомнил,67
Сони,67
Боже,67
человеком,66
участие,66
таких,66
смотреть,66
случилось,66
русский,66
представить,66
подошла,66
испуганно,66
души,66
громко,66
вопросы,66
вероятно,66
Билибин,66
шагами,65
числе,65
уехал,65
тою,65
