"характеристика","идея","множество"
"Аустерлицкая батарея: Андрей под знаменем, разочарование в военной славе","Иллюзорность героизма","война"
"Ранение Николая у Шенграбена: ужас войны для Николая","Истинная суть войны","война"
"Пьер на Бородинском поле: Пьер сталкивается с жестокостью и героизмом простых солдат","Народ как главная сила войны","война;народ и история"
"Багратионовы флеши: жестокие бои, гибель, командование Багратиона","Цена победы и жертвы","война"
"Совет в Филях: генералы решают оставить Москву","История решается не личностями, а общим благом","война;народ и история"
"Партизанская засада Тихона Щербатого","Народная война","война;народ и история"
"Пьер Безухов становится ополченцем и оказывается в гуще народной войны, соприкасается с простыми людьми и испытывает сильнейшие личные изменения","Взаимосвязь личной судьбы, войны и судьбы народа","война;народ и история;отношения людей"
"Сцена с каретой Ростовых: вывозят раненых вместо имущества","Самопожертвование ради ближнего","война;народ и история;отношения людей"
"Платон Каратаев рассказывает Пьеру притчу: Пьер учится простоте","Народная мудрость и духовное преображение личности во время войны","война;народ и история;отношения людей"
"Сбор пожертвований и уход Пьера с народом: его сопереживание, самоотречение и дух всеобщей ответственности","Личное участие в историческом событии, жертва ради других","война;народ и история;отношения людей"
"Первый бал Наташи: знакомство с Андреем","Рост личности через чувства","отношения людей"
"Дуэль Пьера и Долохова: кризис и поиск смысла в жизни","Ответственность за поступки","отношения людей"
"Ссора Николая и Долохова в ресторане: проблемы молодых Ростовых","Недальновидность молодости","отношения людей"
"Сговор Наташи с Анатолем: побег, срыв помолвки с Андреем","Испытание страстью и прощением","отношения людей"
"Прощание Андрея и Наташи: сцена прощения и смерти","Сила прощения и любви","отношения людей"
"Примирение Пьера и Наташи: встреча после несчастий","Прощение и внутренний рост","отношения людей"
"Пьер навещает княжну Марию: поддержка в беде","Милосердие и забота","отношения людей"
"Москва при пожаре: жители оставляют город, помощь раненым","Стойкость народа","народ и история"
"Хоровод Наташи в Отрадном: единство с крестьянами","Народные истоки духовности","народ и история;отношения людей"
"Кутузов в Тарутино: вождь среди солдат","Народу близкий вождь — настоящая сила","народ и история;война"
